No.,Height,Length,Semibalanus,Chthamalus,Greenish algae,Brownish algae,Winkles,Dogwelks,,
,,,% cover,% cover,% cover,% cover,count,count,count,count
1,0,0,7.8,37.6,3.5,24.8,5,0,,
2,0.4,1.35,7.8,4.8,3.2,9,11,0,,
3,0.8,2.29,7.9,23.6,12.5,0.2,6,0,,
4,1.2,3.11,21,1.6,17.5,4.7,13,2,,
5,1.6,3.54,26.7,21.8,15.9,0.9,10,1,,
6,2,4.93,18.6,6.5,46.9,11.7,14,3,,
7,2.4,5.87,34.6,6.7,31.5,8.7,13,1,,
8,2.8,6.32,44,15,29,9.7,6,5,,
9,3.2,6.98,37.7,0.8,45.3,5.2,15,3,,
10,3.6,7.65,42.7,1,31.3,5.7,12,1,,
11,4,9.2,58.7,8.2,59.4,1.9,15,6,,
12,4.4,9.9,52,6,76.8,17.1,13,5,,
13,4.8,10.42,57.9,7,53.4,19.6,11,5,,
14,5.2,12.1,63.1,2.8,60,1.7,5,5,,
15,5.6,13.25,70.6,5.5,58.5,10.2,5,6,,
16,6,14.35,55.5,9.1,79.6,17.4,10,6,,
17,6.4,16.2,64.4,4.1,82.4,11.5,10,4,,
18,6.8,16.62,70.1,6.9,84.4,10.8,14,6,,
19,7.2,17.06,92,19.3,91.2,7.8,9,9,,
20,7.6,18.86,87.8,16.1,95.7,3.5,12,9,,
