No.,Height,Length,Semibalanus,Chthamalus,Greenish algae,Brownish algae,Winkles,Dogwelks,,
,,,% cover,% cover,% cover,% cover,count,count,count,count
1,0,0,12.2,11.6,3.3,14.1,8,0,,
2,0.4,1.59,6.7,18.8,8.9,9.3,14,0,,
3,0.8,2.37,3.5,15.7,9.8,14.4,17,2,,
4,1.2,3.23,25.2,17.9,31.3,10.6,13,1,,
5,1.6,4.81,3.5,2.1,1.6,13.3,11,2,,
6,2,5.95,23.8,2.2,28.6,19.7,13,3,,
7,2.4,7.23,40.2,15.9,12.9,12.4,12,2,,
8,2.8,8.17,25,4.8,37.8,18.1,13,4,,
9,3.2,9.65,37.6,12,28.2,6.8,8,1,,
10,3.6,11.21,54.7,11.1,55.5,13.7,12,6,,
11,4,12.04,36.4,4.6,62.5,13.9,13,5,,
12,4.4,13.4,49.2,1.1,34.3,1.5,10,3,,
13,4.8,13.83,65.4,3.8,54.3,3.2,7,3,,
14,5.2,14.58,69.9,2.9,58.5,6.5,9,1,,
15,5.6,14.94,62,6.5,58.6,2.6,15,3,,
16,6,16.7,76.1,3.4,83.5,4.9,18,4,,
17,6.4,17.19,79.5,19.4,84.4,1,4,8,,
18,6.8,18.83,92.9,15.9,87.6,3.5,9,5,,
19,7.2,19.59,96.3,16.8,85.3,3,10,3,,
20,7.6,19.93,80.3,15.9,99.6,2.4,13,5,,
