No.,Height,Length,Semibalanus,Chthamalus,Greenish algae,Brownish algae,Winkles,Dogwelks,,
,,,% cover,% cover,% cover,% cover,count,count,count,count
1,0,0,18.2,11.7,19.4,23.3,11,0,,
2,0.4,1.38,26.2,22.2,8.4,18.3,13,0,,
3,0.8,2.73,5,1.8,29.3,10.3,11,0,,
4,1.2,3.94,21.3,10.8,5.3,1,10,2,,
5,1.6,5.49,11.4,9.2,23.8,4.5,10,1,,
6,2,6.66,32.1,20.1,23.3,5.8,9,2,,
7,2.4,7.7,24.9,5.4,39.5,10,4,2,,
8,2.8,9.56,20.5,3,44.2,3.2,13,1,,
9,3.2,10.96,41.9,1.6,36.2,17.3,6,8,,
10,3.6,11.71,27.6,4.5,48.7,0.3,9,3,,
11,4,12.52,55.1,8,66.5,14.3,13,4,,
12,4.4,13.79,54,8.3,43.9,0.8,12,2,,
13,4.8,14.18,55.7,0.9,65.6,1,11,3,,
14,5.2,14.64,75.3,13.2,69.4,1.3,13,4,,
15,5.6,15.94,74.1,6,68.3,12.3,8,4,,
16,6,16.51,67.2,6.1,92.3,4.6,15,6,,
17,6.4,17.32,78.4,1.9,65.7,7.8,12,3,,
18,6.8,18.59,87.2,11.9,77.2,13.1,11,5,,
19,7.2,20.19,71.6,11.6,81.4,1.7,8,5,,
20,7.6,20.58,86.6,2.1,87.1,2.8,9,9,,
