No.,Height,Length,Semibalanus,Chthamalus,Greenish algae,Brownish algae,Winkles,Dogwelks,,
,,,% cover,% cover,% cover,% cover,count,count,count,count
1,0,0,12,5.9,15.9,21.3,8,0,,
2,0.4,0.83,0.5,23.5,3.5,9.1,10,0,,
3,0.8,1.78,4.1,8.6,21.6,9.4,9,0,,
4,1.2,2.89,8.5,5.9,31.4,7.4,7,2,,
5,1.6,3.61,26.6,1.6,9.4,1.2,14,2,,
6,2,5.24,21.7,8.6,26.7,0.6,11,3,,
7,2.4,5.85,40.9,17.1,21.6,2.4,9,4,,
8,2.8,7.65,37.5,14,12.6,8.2,7,4,,
9,3.2,9.28,33.2,0.4,59.6,5.4,19,5,,
10,3.6,10.05,45.6,17.7,45.4,3.4,9,0,,
11,4,11.24,43.9,13.3,46.2,4.3,7,5,,
12,4.4,12.45,57.1,12.8,40.5,0.6,8,5,,
13,4.8,13.62,57.7,6.6,50.9,10.1,16,6,,
14,5.2,14.08,83,11.6,69.4,3.1,6,4,,
15,5.6,14.71,80.9,10.6,91,5.8,6,3,,
16,6,15.18,79.9,19.1,78,6.4,9,4,,
17,6.4,15.6,81.6,0,62.5,6.3,11,8,,
18,6.8,16.43,71.2,2.5,75.8,14.6,11,6,,
19,7.2,17.75,91,0.3,79.8,13,13,7,,
20,7.6,18.79,83.5,5.8,92.1,4.1,8,7,,
