No.,Height,Length,Semibalanus,Chthamalus,Greenish algae,Brownish algae,Winkles,Dogwelks,,
,,,% cover,% cover,% cover,% cover,count,count,count,count
1,0,0,18.6,28.5,14.2,28.1,14,0,,
2,0.4,0.5,4.5,12.1,8,4.1,11,0,,
3,0.8,1.12,16.7,6.4,13.7,16.6,10,0,,
4,1.2,1.78,15.5,0.8,13.6,0,9,1,,
5,1.6,3.44,14.1,8.6,21.9,13.4,13,3,,
6,2,5.21,16.8,17.7,17.5,6,9,3,,
7,2.4,7.18,37.7,2.2,24.8,6.8,6,1,,
8,2.8,8.17,27.2,14.2,52.8,2.8,5,1,,
9,3.2,8.64,47,16.1,36.3,14.7,8,5,,
10,3.6,9.48,54.7,8.2,66.9,1,13,3,,
11,4,10.04,54.1,0.1,53.2,10.8,12,3,,
12,4.4,10.81,45.4,5.4,43.5,10.1,15,4,,
13,4.8,11.05,65.4,4.3,68.6,4.5,10,2,,
14,5.2,12.28,58.7,4.3,69.9,25,5,6,,
15,5.6,12.77,60.7,11.3,75.7,6.4,9,5,,
16,6,13.74,83.2,7.7,55.8,3.8,12,7,,
17,6.4,15.01,74.3,16.5,98,9.7,9,7,,
18,6.8,16.55,86.3,18.3,76.8,13,12,2,,
19,7.2,17.33,98.9,8.7,80.6,15.1,10,7,,
20,7.6,19.27,96.9,0.7,76.3,9.9,11,5,,
