No.,Height,Length,Semibalanus,Chthamalus,Greenish algae,Brownish algae,Winkles,Dogwelks,,
,,,% cover,% cover,% cover,% cover,count,count,count,count
1,0,0,1.8,23.3,8.1,4,6,0,,
2,0.4,1.96,8.1,12.4,8.6,18.8,8,0,,
3,0.8,3.75,12.3,1.9,30.1,2,11,0,,
4,1.2,5.29,13.3,27.8,27.3,8.6,14,1,,
5,1.6,5.82,18.9,4.6,16.5,15.3,9,2,,
6,2,6.54,42.7,19,21.3,16.4,9,1,,
7,2.4,7.2,4.9,0.4,36.7,2.8,7,4,,
8,2.8,8.47,36.1,4.6,24.5,4.4,8,3,,
9,3.2,8.77,47.3,14.2,39.4,6.4,16,6,,
10,3.6,10.01,48.6,8.5,40.8,10.7,9,2,,
11,4,11.92,57.3,0.5,49.9,13.3,6,2,,
12,4.4,12.19,68.2,11.2,52.7,8,11,8,,
13,4.8,13.37,44,3,43.1,7.2,11,2,,
14,5.2,13.94,65.7,1.6,65.7,2.5,8,4,,
15,5.6,14.37,72.9,4.5,69.1,0.5,9,3,,
16,6,14.92,88.9,15.6,75.5,6.1,7,4,,
17,6.4,16.69,92.1,7.9,72.4,11.5,7,9,,
18,6.8,17.63,91,24.7,93.3,17.1,8,5,,
19,7.2,18.32,92.9,1,81.5,5.8,7,6,,
20,7.6,19.18,92.4,0.7,93.2,6.2,8,6,,
