No.,Height,Length,Semibalanus,Chthamalus,Greenish algae,Brownish algae,Winkles,Dogwelks,,
,,,% cover,% cover,% cover,% cover,count,count,count,count
1,0,0,8.7,5.3,12.9,0.5,10,0,,
2,0.4,1.08,2.7,17.2,10,12.4,7,0,,
3,0.8,3.03,1.1,11.7,0.6,11.4,9,0,,
4,1.2,4.6,21.7,3,26,14.1,7,2,,
5,1.6,5.91,22.3,4.4,16.4,4,12,0,,
6,2,6.81,39.6,3.6,11.9,19.9,7,3,,
7,2.4,8.66,19.9,2.2,33,0.8,11,2,,
8,2.8,9.81,43.9,0.5,40.9,5.4,18,1,,
9,3.2,10.13,41.8,6.7,41.1,2.4,5,7,,
10,3.6,11.2,46.6,6.8,51.8,8.3,12,3,,
11,4,12.98,40.4,6.2,56.1,3.5,8,1,,
12,4.4,14.76,50.7,23,30.4,1,13,2,,
13,4.8,15.93,55.7,0.9,64.9,1.8,4,7,,
14,5.2,17.87,71.1,10.7,77.9,7.9,12,5,,
15,5.6,19.48,63.8,9.6,54.6,1.9,8,7,,
16,6,21.23,82.1,28.9,52.2,3,9,8,,
17,6.4,21.45,84.8,1.5,62.2,18.5,5,4,,
18,6.8,23.36,65.6,2.4,91.4,7.6,15,4,,
19,7.2,24.73,90.7,8.6,89.7,8.8,14,9,,
20,7.6,26.62,92.6,11.2,88.2,1.4,11,11,,
