No.,Height,Length,Semibalanus,Chthamalus,Greenish algae,Brownish algae,Winkles,Dogwelks,,
,,,% cover,% cover,% cover,% cover,count,count,count,count
1,0,0,6.3,19.9,13.9,8.1,9,0,,
2,0.4,1.74,4.7,7,21,12.5,10,1,,
3,0.8,3.45,15.5,10.6,30.3,10.8,9,2,,
4,1.2,5,16.7,1.1,12.1,5.5,10,1,,
5,1.6,6.76,21.7,3.2,30.5,1.8,13,1,,
6,2,8.37,22.3,5.6,24.6,10.7,8,1,,
7,2.4,10.29,29.7,18.5,15.4,13.3,15,1,,
8,2.8,12.28,51.2,1.3,45.1,2.7,10,4,,
9,3.2,12.98,19.2,0.6,47.3,0.2,7,1,,
10,3.6,13.61,53.7,7.5,59.3,12.6,13,3,,
11,4,15.49,56.2,5.5,66.1,3.8,11,4,,
12,4.4,17.04,48.6,0,59.7,4.8,9,7,,
13,4.8,17.84,58.2,7.2,62.5,18.1,15,1,,
14,5.2,19.68,68.7,5.9,67.1,13.6,5,3,,
15,5.6,21.66,60.6,5.6,65.5,8.8,16,5,,
16,6,21.94,77.3,7,84.5,17.6,10,11,,
17,6.4,23.51,87,6.1,82.4,6.1,10,4,,
18,6.8,25.06,89.3,0.2,94.8,10.7,11,7,,
19,7.2,25.97,80.8,7.8,89.3,13.6,12,6,,
20,7.6,27.14,83.6,5,99.6,8.5,14,5,,
