No.,Height,Length,Semibalanus,Chthamalus,Greenish algae,Brownish algae,Winkles,Dogwelks,,
,,,% cover,% cover,% cover,% cover,count,count,count,count
1,0,0,23.8,9.1,2.8,19.9,5,0,,
2,0.4,1.18,37.6,5.4,5.9,16,14,0,,
3,0.8,2.9,10,9.3,20,4.4,9,0,,
4,1.2,4.7,8.8,9.6,18.7,1.9,11,2,,
5,1.6,6.61,17.1,9.4,33.6,2.9,6,1,,
6,2,8.01,19.1,7.8,26,5.9,8,5,,
7,2.4,9.91,12.3,6.4,36.3,17.4,12,1,,
8,2.8,10.66,30,2.6,45,2.5,7,2,,
9,3.2,11.99,39.1,2.1,47.7,24.6,9,3,,
10,3.6,13.56,54.2,18.7,37.3,12.5,10,1,,
11,4,14.78,49.9,2.9,39.7,19.8,9,6,,
12,4.4,15.94,65.6,10.6,38.8,20.9,9,6,,
13,4.8,16.29,59.9,2.5,54.9,1.7,11,2,,
14,5.2,17.74,84.1,1.8,38.3,10.9,12,2,,
15,5.6,18.18,68.4,9,81.8,1.3,11,3,,
16,6,19.55,85.8,2.5,69.6,3.6,9,3,,
17,6.4,21.25,81.7,7.1,82.7,7.9,11,7,,
18,6.8,22.57,82.8,17,93.3,24.6,10,3,,
19,7.2,23.48,79.6,14.1,89.1,0.5,8,9,,
20,7.6,24.61,96.6,20.7,85.7,1.9,10,6,,
