No.,Height,Length,Semibalanus,Chthamalus,Greenish algae,Brownish algae,Winkles,Dogwelks,,
,,,% cover,% cover,% cover,% cover,count,count,count,count
1,0,0,14.8,5.9,3.6,2.8,6,0,,
2,0.4,1.29,0.4,2,8.6,14.4,10,0,,
3,0.8,1.8,1.9,3.6,3.3,8.5,11,0,,
4,1.2,2.75,10.7,8.1,21.8,8.5,8,0,,
5,1.6,3.35,13.3,4.2,22.2,1.6,11,0,,
6,2,5.34,26.5,12.8,9.6,7.8,11,2,,
7,2.4,7.17,33.3,2.4,30.9,2.9,8,1,,
8,2.8,7.98,42,9.4,35,3.3,16,5,,
9,3.2,9.32,33.5,4.1,36.6,4.6,12,1,,
10,3.6,10.25,40.2,3,44.8,12.8,13,3,,
11,4,11.72,50.8,7.6,32.4,2.1,9,1,,
12,4.4,12.86,40.7,9.2,61.5,15.9,8,7,,
13,4.8,13.5,33.1,10.2,50.3,16.6,7,4,,
14,5.2,14.84,54.9,9.8,62.2,2.7,7,4,,
15,5.6,15.54,70.9,13.7,95.2,16,8,4,,
16,6,17.03,68.7,17,64.7,1.9,9,7,,
17,6.4,17.61,78.6,7.1,54.9,19.8,7,3,,
18,6.8,18.46,82.5,2.8,72.7,0.8,13,9,,
19,7.2,19.08,85.8,22.1,94.6,14.8,13,5,,
20,7.6,20.58,94.8,14,90.5,3.2,11,6,,
